Skrót,Przewoźnik,Z,Do
KS,Koleje Śląskie,Gliwice,Katowice
KS,Koleje Śląskie,Częstochowa,Lubliniec
KML,Koleje Małopolskie,Kraków-,Tarnów
KML,Koleje Małopolskie,Miechów,Sędziszów
SKM,SKM w Trójmieście,Gdynia-,Reda
SKM,SKM w Trójmieście,Lębork,Wejherowo
Arriva,Arriva,Toruń-,Lipno
Arriva,Arriva,Bydgoszcz-,Tuchola
Arriva,Arriva,Jabłonowo Pomorskie-,Grudziądz
KD,Koleje Dolnośląskie,Wrocław-,Legnica
KD,Koleje Dolnośląskie,Kobierzyce,Sobótka
KW,Koleje Wielkopolskie,Poznań-,Gniezno
KW,Koleje Wielkopolskie,Leszno,Rawicz
ŁKA,Łódzka Kolej Aglomeracyjna,Łódź-,Łowicz-
ŁKA,Łódzka Kolej Aglomeracyjna,Łódź-,Kutno
WB,Wspólny Bilet,Biadoliny,Warszawa Wschodnia
WB,Wspólny Bilet,Warszawa-,Olsztyn Dajtki
